Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
ACCY,,30159,Accounting and Accountancy II,2,14,1,6,4,0,2,3,1,0,0,0,0,0,3.39,"Siebert, Julia E",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30161,Accounting and Accountancy II,2,7,2,8,12,0,2,2,0,0,0,0,0,0,3.28,"McNamee, Daniel B",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30168,Accounting and Accountancy II,4,7,1,5,12,3,0,1,0,0,0,0,0,0,3.34,"Li, Xiongjie",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30171,Accounting and Accountancy II,4,6,1,5,10,4,2,2,1,0,0,0,0,0,3.18,"Boals, Jennifer L",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30176,Accounting and Accountancy II,3,7,1,4,8,3,2,1,0,0,0,0,0,0,3.3,"Kwon, Jieun",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30179,Accounting and Accountancy II,0,10,3,5,5,3,2,3,0,0,0,0,0,0,3.27,"Kwon, Jieun",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30182,Accounting and Accountancy II,5,8,1,1,12,3,3,0,1,0,0,0,0,0,3.28,"Li, Xiongjie",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30186,Accounting and Accountancy II,3,8,1,4,6,1,3,3,0,0,0,0,0,0,3.26,"Boals, Jennifer L",2020,SPRING,,,,DIS,,,,,202,
ACCY,,30192,Atg Measurement & Disclosure,1,7,4,6,4,2,1,0,1,0,0,0,0,0,3.38,"Davis, Gregory L",2020,SPRING,,,,LCD,,,,,301,
ACCY,,30195,Atg Measurement & Disclosure,0,4,5,3,9,3,2,0,0,0,0,0,0,0,3.23,"Davis, Gregory L",2020,SPRING,,,,LCD,,,,,301,
ACCY,,30197,Atg Measurement & Disclosure,2,4,6,4,6,2,1,0,0,1,0,0,0,0,3.32,"Mendoza, Scott A",2020,SPRING,,,,LCD,,,,,301,
ACCY,,30200,Atg Measurement & Disclosure,1,5,8,6,3,1,2,0,1,0,0,0,0,0,3.38,"Anderson, Spencer B",2020,SPRING,,,,LCD,,,,,301,
ACCY,,30201,Atg Measurement & Disclosure,5,2,3,5,2,2,1,0,1,0,0,0,0,0,3.38,"Anderson, Spencer B",2020,SPRING,,,,LCD,,,,,301,
ACCY,,30203,Atg Measurement & Disclosure,5,2,4,5,5,3,1,1,0,0,0,0,0,0,3.33,"Anderson, Spencer B",2020,SPRING,,,,LCD,,,,,301,
ACCY,,60043,Decision Making for Atg,0,10,7,3,5,1,0,1,0,0,0,0,0,0,3.53,"Herbold, T J",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30211,Decision Making for Atg,0,12,3,2,3,0,2,0,1,0,0,0,0,0,3.52,"Herbold, T J",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30212,Decision Making for Atg,1,10,6,6,3,0,1,0,0,0,0,0,0,0,3.6,"Curtis, Susan M",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30228,Decision Making for Atg,0,3,10,9,3,1,0,0,0,0,0,0,0,0,3.47,"Curtis, Susan M",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30232,Decision Making for Atg,0,9,4,7,6,0,0,0,0,0,0,0,0,0,3.54,"Herbold, T J",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30255,Decision Making for Atg,4,5,8,8,4,1,0,0,0,0,0,0,0,0,3.56,"Zhang, Zheng",2020,SPRING,,,,LCD,,,,,302,
ACCY,,30267,Atg Institutions and Reg,0,13,6,4,6,2,0,0,1,0,0,0,0,0,3.51,"Hamm, Brian K",2020,SPRING,,,,LCD,,,,,303,
ACCY,,30271,Atg Institutions and Reg,6,10,5,1,4,1,3,0,4,0,0,0,0,0,3.35,"Schwartz, Rachel",2020,SPRING,,,,LCD,,,,,303,
ACCY,,30274,Atg Institutions and Reg,0,6,2,0,6,6,1,1,1,1,0,0,1,0,2.91,"Hamm, Brian K",2020,SPRING,,,,LCD,,,,,303,
ACCY,,30276,Atg Institutions and Reg,0,14,5,2,5,2,1,1,0,1,2,0,0,0,3.3,"Hamm, Brian K",2020,SPRING,,,,LCD,,,,,303,
ACCY,,30278,Atg Institutions and Reg,5,9,4,5,2,2,3,1,2,0,0,0,0,0,3.36,"Schwartz, Rachel",2020,SPRING,,,,LCD,,,,,303,
ACCY,,46358,Atg Institutions and Reg,2,11,4,2,4,3,5,2,1,0,0,0,0,0,3.26,"Schwartz, Rachel",2020,SPRING,,,,LCD,,,,,303,
ACCY,,30286,Accounting Control Systems,4,7,9,9,2,2,2,1,0,0,0,0,0,0,3.47,"Wu, Martin G",2020,SPRING,,,,LCD,,,,,304,
ACCY,,30288,Accounting Control Systems,0,13,9,5,4,1,0,0,2,0,0,0,0,0,3.52,"Kink, Dawn M",2020,SPRING,,,,LCD,,,,,304,
ACCY,,30291,Accounting Control Systems,1,8,12,5,3,4,2,0,0,0,0,0,0,0,3.46,"Wu, Martin G",2020,SPRING,,,,LCD,,,,,304,
ACCY,,30294,Accounting Control Systems,0,8,1,4,6,5,3,3,0,0,0,0,0,0,3.11,"Wang, Wei",2020,SPRING,,,,LCD,,,,,304,
